Worker Name,Activity Type,Item Name,Total Quantity,Total Amount
"Ale Beckham","Plants Deposited","trigo",410,0
"Ale Beckham","Plants Deposited","corn",190,0
"Ale Beckham","Plants Deposited","Bulrush",810,0
"Ale Beckham","Plants Taken Out","Bulrush_Seed",113,0
"Ale Beckham","Plants Taken Out","semente_trigo",58,0
"Ale Beckham","Plants Taken Out","cornseed",19,0
"Ale Beckham","Misc Items Taken Out","Cigarett",2,0
"Ale Beckham","Misc Items Taken Out","saladadefruta",5,0
"Ale Beckham","Misc Items Taken Out","frangocaipira",2,0
"Bartholomeu Dias","Boxes Taken Out","caixaanimal",500,0
"Bartholomeu Dias","Money Taken Out","Money",1,160
"Bartholomeu Dias","Money Taken Out","Money",1,750
"Bartholomeu Dias","Money Taken Out","Money",1,125
"Bartholomeu Dias","Money Taken Out","Money",1,250
"Bartholomeu Dias","Money Taken Out","Money",1,160
"Bartholomeu Dias","Misc Items Taken Out","satchel",16,0
"Biel Silva","Plants Deposited","corn",100,0
"Biel Silva","Plants Taken Out","cornseed",100,0
"Biel Silva","Plants Taken Out","corn",100,0
"Biel Silva","Misc Items Taken Out","hoe",1,0
"Bonnie Bennett","Money Taken Out","Money",1,410
"Cherokee Bill","Plants Deposited","cornseed",250,0
"Cherokee Bill","Plants Deposited","Bulrush_Seed",250,0
"Cherokee Bill","Plants Taken Out","cornseed",250,0
"Cherokee Bill","Plants Taken Out","Bulrush_Seed",250,0
"Cherokee Bill","Boxes Deposited","caixadeverduras",44,0
"Cherokee Bill","Boxes Taken Out","caixadeverduras",44,0
"Chris Rubble","Plants Deposited","semente_trigo",1,0
"Chris Rubble","Plants Deposited","Prairie_Poppy_Seed",70,0
"Chris Rubble","Plants Deposited","Bay_Bolete_Seed",70,0
"Chris Rubble","Plants Taken Out","corn",3400,0
"Chris Rubble","Plants Taken Out","Bulrush",1710,0
"Chris Rubble","Plants Taken Out","trigo",1500,0
"Chris Rubble","Boxes Taken Out","caixadeverduras",250,0
"Chris Rubble","Boxes Taken Out","caixarustica",435,0
"Chris Rubble","Money Deposited","Money",1,1000
"Chris Rubble","Misc Items Taken Out","batatarecheada",3,0
"Cliff Dillimore","Money Deposited","Money",1,250
"Cliff Dillimore","Money Taken Out","Money",1,500
"Cliff Dillimore","Money Taken Out","Money",1,493
"Florencio Laffon","Plants Taken Out","semente_trigo",100,0
"Florencio Laffon","Misc Items Taken Out","sucodelemon",5,0
"Florencio Laffon","Misc Items Taken Out","hoe",1,0
"Izzynha Evans","Misc Items Taken Out","Cigarett",2,0
"Jizar Stoffeliz","Plants Deposited","Prairie_Poppy_Seed",500,0
"Jizar Stoffeliz","Plants Deposited","Red_Raspberry_Seed",500,0
"Jizar Stoffeliz","Plants Deposited","Black_Berry_Seed",500,0
"Jizar Stoffeliz","Plants Deposited","Oregano_Seed",200,0
"Jizar Stoffeliz","Plants Deposited","coffeeseeds",200,0
"Jizar Stoffeliz","Plants Deposited","Oleander_Sage_Seed",200,0
"Jizar Stoffeliz","Plants Deposited","Black_Currant_Seed",500,0
"Jizar Stoffeliz","Plants Deposited","Parasol_Mushroom_Seed",200,0
"Jizar Stoffeliz","Plants Deposited","Crows_Garlic_Seed",500,0
"Jizar Stoffeliz","Plants Deposited","semente_trigo",77,0
"Jizar Stoffeliz","Plants Deposited","trigo",1397,0
"Jizar Stoffeliz","Plants Deposited","Bulrush",400,0
"Jizar Stoffeliz","Plants Deposited","corn",200,0
"Jizar Stoffeliz","Plants Taken Out","semente_trigo",200,0
"Jizar Stoffeliz","Plants Taken Out","corn",5500,0
"Jizar Stoffeliz","Plants Taken Out","trigo",2707,0
"Jizar Stoffeliz","Plants Taken Out","Bulrush",3300,0
"Jizar Stoffeliz","Boxes Deposited","caixaanimal",189,0
"Jizar Stoffeliz","Boxes Deposited","caixadeverduras",3018,0
"Jizar Stoffeliz","Boxes Taken Out","caixadeverduras",2850,0
"Jizar Stoffeliz","Boxes Taken Out","caixarustica",700,0
"Jizar Stoffeliz","Money Deposited","Money",1,1000
"Jizar Stoffeliz","Money Deposited","Money",1,1000
"Jizar Stoffeliz","Money Deposited","Money",1,1000
"John Weslley","Plants Deposited","corn",4000,0
"John Weslley","Plants Taken Out","cornseed",200,0
"John Weslley","Misc Items Taken Out","common_portion_goat",28,0
"Johnny Rocks","Plants Deposited","trigo",1000,0
"Johnny Rocks","Plants Deposited","corn",1000,0
"Johnny Rocks","Plants Taken Out","semente_trigo",100,0
"Johnny Rocks","Plants Taken Out","cornseed",100,0
